Date,Time,Location_id,ConnectorId,SessionId,EventType,PowerValue
01/01/2025,00:06:05,Parity Office,C1,16737fc6-4b0e-70ff-c3d7-e22d8fe38922,START_SESSION_EVENT,22.0
01/01/2025,03:22:38,Parity Office,C1,16737fc6-4b0e-70ff-c3d7-e22d8fe38922,STOP_SESSION_EVENT,0.0
01/01/2025,05:17:06,Parity Office,C1,75d0e826-79c0-202c-eb29-370701bbb8f8,START_SESSION_EVENT,22.0
01/01/2025,06:06:31,Parity Office,C1,75d0e826-79c0-202c-eb29-370701bbb8f8,STOP_SESSION_EVENT,0.0
01/01/2025,16:09:18,Parity Office,C1,976da518-1002-5487-e395-061d4a4f814e,START_SESSION_EVENT,22.0
01/01/2025,16:54:48,Parity Office,C2,88bc2a66-5f6a-398f-8120-e12db9a05082,START_SESSION_EVENT,22.0
01/01/2025,17:05:05,Parity Office,C1,976da518-1002-5487-e395-061d4a4f814e,STOP_SESSION_EVENT,0.0
01/01/2025,20:26:56,Parity Office,C2,88bc2a66-5f6a-398f-8120-e12db9a05082,STOP_SESSION_EVENT,0.0
01/01/2025,21:08:26,Parity Office,C1,98415a39-8d00-db9a-15be-be38fa585b44,START_SESSION_EVENT,22.0
01/01/2025,23:21:51,Parity Office,C1,98415a39-8d00-db9a-15be-be38fa585b44,STOP_SESSION_EVENT,0.0
02/01/2025,01:51:22,Parity Office,C1,4307452e-0d10-a6ca-7150-878ee9003c9f,START_SESSION_EVENT,22.0
02/01/2025,02:42:57,Parity Office,C2,42a938f7-dca0-a5cf-9532-99c654c70dcf,START_SESSION_EVENT,22.0
02/01/2025,03:07:01,Parity Office,C1,4307452e-0d10-a6ca-7150-878ee9003c9f,DOWNGRADE_EVENT DUE TO THRESHOLD,11.0
02/01/2025,03:07:00,Parity Office,C3,b00a65ab-29ad-0287-910c-ccea58551663,START_SESSION_EVENT,11.0
02/01/2025,03:43:45,Parity Office,C2,42a938f7-dca0-a5cf-9532-99c654c70dcf,STOP_SESSION_EVENT,0.0
02/01/2025,04:08:17,Parity Office,C1,4307452e-0d10-a6ca-7150-878ee9003c9f,STOP_SESSION_EVENT,0.0
02/01/2025,06:08:44,Parity Office,C3,b00a65ab-29ad-0287-910c-ccea58551663,STOP_SESSION_EVENT,0.0
02/01/2025,07:21:21,Parity Office,C1,b37d6222-1086-92f2-9e10-168c059c6d1a,START_SESSION_EVENT,22.0
02/01/2025,08:43:31,Parity Office,C1,b37d6222-1086-92f2-9e10-168c059c6d1a,STOP_SESSION_EVENT,0.0
02/01/2025,09:55:16,Parity Office,C1,10ec1f16-9226-0889-020d-145bc2cf69df,START_SESSION_EVENT,22.0
02/01/2025,12:24:49,Parity Office,C1,10ec1f16-9226-0889-020d-145bc2cf69df,STOP_SESSION_EVENT,0.0
02/01/2025,23:23:07,Parity Office,C1,9a1f42a6-1d80-1ce9-7647-940e799127aa,START_SESSION_EVENT,22.0
03/01/2025,02:29:58,Parity Office,C1,9a1f42a6-1d80-1ce9-7647-940e799127aa,STOP_SESSION_EVENT,0.0
03/01/2025,04:02:15,Parity Office,C1,286d7b0c-8400-f85f-7454-ed566eb399ea,START_SESSION_EVENT,22.0
03/01/2025,05:43:58,Parity Office,C2,01bd3227-c733-f08b-cedb-f0f094be3f82,START_SESSION_EVENT,22.0
03/01/2025,05:45:56,Parity Office,C1,286d7b0c-8400-f85f-7454-ed566eb399ea,DOWNGRADE_EVENT DUE TO THRESHOLD,11.0
03/01/2025,05:45:55,Parity Office,C3,dedbab91-89a2-e3c3-40ed-df4c21a3b0ae,START_SESSION_EVENT,11.0
03/01/2025,07:30:26,Parity Office,C1,286d7b0c-8400-f85f-7454-ed566eb399ea,STOP_SESSION_EVENT,0.0
03/01/2025,09:13:58,Parity Office,C2,01bd3227-c733-f08b-cedb-f0f094be3f82,STOP_SESSION_EVENT,0.0
03/01/2025,09:29:44,Parity Office,C3,dedbab91-89a2-e3c3-40ed-df4c21a3b0ae,STOP_SESSION_EVENT,0.0
03/01/2025,09:31:03,Parity Office,C1,98badbd0-883e-5661-0869-500f9abd7c3d,START_SESSION_EVENT,22.0
03/01/2025,13:16:50,Parity Office,C1,98badbd0-883e-5661-0869-500f9abd7c3d,STOP_SESSION_EVENT,0.0
03/01/2025,18:23:20,Parity Office,C1,3f1f3fd7-213e-e144-2e90-dbcf0f21ee52,START_SESSION_EVENT,22.0
03/01/2025,18:47:14,Parity Office,C2,1291534e-5c19-6742-3bb2-ef22811d76ac,START_SESSION_EVENT,22.0
03/01/2025,19:45:23,Parity Office,C1,3f1f3fd7-213e-e144-2e90-dbcf0f21ee52,STOP_SESSION_EVENT,0.0
03/01/2025,20:16:16,Parity Office,C2,1291534e-5c19-6742-3bb2-ef22811d76ac,STOP_SESSION_EVENT,0.0
03/01/2025,22:32:23,Parity Office,C1,79de7f32-0a90-a4e0-643f-37d28cf9856b,START_SESSION_EVENT,22.0
03/01/2025,23:37:24,Parity Office,C1,79de7f32-0a90-a4e0-643f-37d28cf9856b,STOP_SESSION_EVENT,0.0
04/01/2025,05:22:52,Parity Office,C1,659520a3-178c-5044-7786-817ec3941e5a,START_SESSION_EVENT,22.0
04/01/2025,06:12:11,Parity Office,C1,659520a3-178c-5044-7786-817ec3941e5a,STOP_SESSION_EVENT,0.0
04/01/2025,09:14:37,Parity Office,C1,bf4729d5-8961-441d-2143-0547b2808682,START_SESSION_EVENT,22.0
04/01/2025,09:19:30,Parity Office,C2,dc532b1b-d01c-54dd-a469-e641c6de1a41,START_SESSION_EVENT,22.0
04/01/2025,10:26:09,Parity Office,C1,bf4729d5-8961-441d-2143-0547b2808682,STOP_SESSION_EVENT,0.0
04/01/2025,11:29:32,Parity Office,C1,c841d8c9-5755-ea52-2b35-c13e1ea616f9,START_SESSION_EVENT,22.0
04/01/2025,11:45:55,Parity Office,C2,dc532b1b-d01c-54dd-a469-e641c6de1a41,STOP_SESSION_EVENT,0.0
04/01/2025,15:22:42,Parity Office,C1,c841d8c9-5755-ea52-2b35-c13e1ea616f9,STOP_SESSION_EVENT,0.0
04/01/2025,15:37:12,Parity Office,C1,b68b5d90-7a67-058f-66cb-5904709cdc78,START_SESSION_EVENT,22.0
04/01/2025,19:34:57,Parity Office,C1,b68b5d90-7a67-058f-66cb-5904709cdc78,STOP_SESSION_EVENT,0.0
05/01/2025,01:35:38,Parity Office,C1,ac02bb45-aeea-907b-b928-cf8926ca8d6c,START_SESSION_EVENT,22.0
05/01/2025,04:18:31,Parity Office,C1,ac02bb45-aeea-907b-b928-cf8926ca8d6c,STOP_SESSION_EVENT,0.0
05/01/2025,09:08:02,Parity Office,C1,ae4a31c6-0777-f3f8-fffd-6a716dc4acfe,START_SESSION_EVENT,22.0
05/01/2025,09:17:27,Parity Office,C2,ea9fa7e9-c4a2-4049-d9c2-1cfe0ba67c21,START_SESSION_EVENT,22.0
05/01/2025,09:24:23,Parity Office,C3,3191364e-a723-6ce2-1ea6-0511a8f20ea1,START_SESSION_EVENT,11.0
05/01/2025,09:24:24,Parity Office,C1,ae4a31c6-0777-f3f8-fffd-6a716dc4acfe,DOWNGRADE_EVENT DUE TO THRESHOLD,11.0
05/01/2025,10:38:41,Parity Office,C1,ae4a31c6-0777-f3f8-fffd-6a716dc4acfe,STOP_SESSION_EVENT,0.0
05/01/2025,10:51:53,Parity Office,C2,ea9fa7e9-c4a2-4049-d9c2-1cfe0ba67c21,STOP_SESSION_EVENT,0.0
05/01/2025,12:50:32,Parity Office,C3,3191364e-a723-6ce2-1ea6-0511a8f20ea1,STOP_SESSION_EVENT,0.0
